CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
DIR,152,FLYYO,2025-07-03T17:30:00,2025-07-03T17:30:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,2373,EL AL ISRAEL AIRLINES,2025-07-03T17:30:00,2025-07-03T17:30:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
LY,5249,EL AL ISRAEL AIRLINES,2025-07-03T17:35:00,2025-07-03T17:35:00,D,PVK,PREVEZA,פרבצה,PREVEZA,יוון,GREECE,3,78-99,D,ON TIME,בזמן
IB,7710,IBERIA,2025-07-03T17:45:00,2025-07-03T17:45:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
LY,363,EL AL ISRAEL AIRLINES,2025-07-03T17:45:00,2025-07-03T17:45:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,78-99,D,ON TIME,בזמן
LY,391,EL AL ISRAEL AIRLINES,2025-07-03T17:45:00,2025-07-03T17:45:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
LY,2523,EL AL ISRAEL AIRLINES,2025-07-03T17:55:00,2025-07-03T17:55:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,ON TIME,בזמן
LY,5226,EL AL ISRAEL AIRLINES,2025-07-03T17:55:00,2025-07-03T17:55:00,A,JTR,SANTORINI,סנטוריני,SANTORINI,יוון,GREECE,3,,,NOT FINAL,לא סופי
AF,6175,AIR FRANCE,2025-07-03T18:00:00,2025-07-03T18:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
AM,7896,AERO MEXICO,2025-07-03T18:00:00,2025-07-03T18:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
AR,7879,AEROLINEAS ARGENTINAS S.A.,2025-07-03T18:00:00,2025-07-03T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
LY,222,EL AL ISRAEL AIRLINES,2025-07-03T18:00:00,2025-07-03T18:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
LY,289,EL AL ISRAEL AIRLINES,2025-07-03T18:00:00,2025-07-03T18:00:00,D,VCE,VENICE,ונציה,VENICE,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
LY,383,EL AL ISRAEL AIRLINES,2025-07-03T18:00:00,2025-07-03T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
SK,3169,SAS,2025-07-03T18:00:00,2025-07-03T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
TP,8900,AIR PORTUGAL,2025-07-03T18:00:00,2025-07-03T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
BZ,702,BLUE BIRD AIRWAYS,2025-07-03T18:10:00,2025-07-03T18:10:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,29-33,A,ON TIME,בזמן
